,_id,filename,new_difficulty,difficultyrating
61,831035,S3RL - Bass Slut (Original Mix) (Secretpipe) [Fort's Light Insane].osu,3.0092848953673053,4.11982
62,1104798,RADWIMPS - Zen Zen Zense (movie ver.) (Monstrata) [Habi's Insane].osu,3.573547576608936,4.5054
63,391521,Suzuki Konomi - This game (TV Size) (Sekai-nyan) [Sekai's Hard Game].osu,3.793331478357362,3.24951
64,741477,AKINO from bless4 & CHiCO with HoneyWorks - MIIRO vs. Ai no Scenario (monstrata) [Ultra Beginner].osu,2.9112740565811785,0.456594
65,1119784,Brad Breeck - Gravity Falls Theme Song (Alphabet) [Easy].osu,1.4302243984892486,1.53618
66,1070639,Gom (HoneyWorks) - Zen Zen Zense (MugiwaraSekai) [Insane].osu,3.3321099616380594,4.38692
67,803704,Agnete Kjolsrud - Get Jinxed (Tarrasky) [Platinum].osu,2.0842344254359526,4.54893
68,1256295,Linked Horizon - Shinzou o Sasageyo! [TV Size] (Monstrata) [Hard].osu,3.5744242530005566,3.353
69,510731,UNDEAD CORPORATION - Everything will freeze (Ekoro) [Normal].osu,2.007876320588208,1.93379
70,1262010,ClariS - Hitorigoto -TV MIX- (Doormat) [Normal].osu,3.026857301456528,2.21445
71,1762729,Will Stetson - Harumachi Clover (Swing Arrangement) [Dictate Edit] (Sotarks) [Light Insane].osu,4.760925083805352,4.29236
72,136400,DJ Genericname - Dear You (Rue) [Dear Rue].osu,3.1606939123049993,4.62608
73,1762733,Will Stetson - Harumachi Clover (Swing Arrangement) [Dictate Edit] (Sotarks) [Shunao's Hard].osu,3.508514789608027,3.46284
74,760034,Panda Eyes & Teminite - Highscore (Fort) [LGV's Insane].osu,4.646998798495977,3.56888
75,1587909,TheFatRat ft. Laura Brehm - MAYDAY (Nightcore Mix) (Peter) [Collab Insane].osu,3.740563096656397,4.34841
76,1257907,Kenshi Yonezu - Peace Sign (TV edit.) (Finshie) [Normal].osu,2.164969715105184,1.92558
77,1582620,Cranky - Chandelier - King (Mao) [Kibbleru's Normal].osu,2.8940370769728467,2.07612
78,1033154,9mm Parabellum Bullet - Inferno (Monstrata) [Agonizing Insane].osu,5.266765652939933,4.752
79,1513236,LukHash - CLONED (Mirash) [Easy].osu,1.410082551474925,1.68556
80,713689,Reol - No title (VINXIS) [Celsius' Easy].osu,2.4667203974456613,1.99739
81,829238,Station Earth - Cold Green Eyes ft. Roos Denayer (Bearizm) [HOS' Hard].osu,2.600099145907488,3.10875
82,410473,Suzuki Konomi - This game (TV Size) (Sekai-nyan) [K.Penguin's Normal Game].osu,1.3307969508762665,2.00812
83,1143704,cYsmix - Moonlight Sonata (Okorin) [Intermediate].osu,4.854602051550653,3.20484
84,847313,Feint - Tower Of Heaven (You Are Slaves) (eLy) [Another].osu,4.934585869155609,4.47606
85,1645699,Vickeblanka - Black Rover (TV Size) (Sotarks) [NiNo's Insane].osu,4.133489209298154,4.42786
86,1762731,Will Stetson - Harumachi Clover (Swing Arrangement) [Dictate Edit] (Sotarks) [Normal].osu,2.2223560219166623,2.32145
87,489620,TK from Ling tosite sigure - unravel (TV edit) (kristi71111) [Gex's Hard].osu,4.92607756631929,2.92625
88,1264972,ClariS - Hitorigoto -TV MIX- (Doormat) [Kencho's Insane].osu,3.882491524138627,4.82412
89,1617643,Icon For Hire - Make a Move (Speed Up Ver.) (Sotarks) [Akitoshi's Normal].osu,2.520282003879767,2.31887
90,1594729,Co shu Nie - asphyxia (TV edit) (Monstrata) [Hard].osu,2.5414558465688493,3.35258
91,1264763,ClariS - Hitorigoto -TV MIX- (Doormat) [Little's Insane].osu,3.0860521685345548,4.75608
92,1256135,Linked Horizon - Shinzou o Sasageyo! [TV Size] (Monstrata) [Easy].osu,1.1287479840263157,1.57226
93,848511,S3RL - Bass Slut (Original Mix) (Secretpipe) [grumd's Advanced].osu,2.4109041031381344,2.87386
94,637625,Konuko - Toumei Elegy (Awaken) [Hard].osu,3.5232230103287936,4.0601
95,871446,KANA-BOON - Silhouette (Kagetsu) [Rocket's Hard].osu,3.7693330621896566,3.50251
96,46626,Ikimono Gakari - Blue Bird (TV Size) (arken1015) [Easy].osu,3.3278306949675893,1.56175
97,1385415,Panda Eyes - ILY (M a r v o l l o) [Hyper].osu,4.0786572864553285,3.37125
98,867343,JAM Project - THE HERO!! ~Ikareru Kobushi ni Hi o Tsukero~ (TV Size) (Kihhou) [Hard].osu,3.7529189389111797,2.95218
99,885030,KANA-BOON - Silhouette (Kagetsu) [Mamayu's Insane].osu,3.7443254002134214,4.40411
